Layer,Name,Area,Length,Contents,Count,Block Unit,Color,Linetype,Closed,Area_m2
MB-ELEV 4,Line,,2.1684,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8457,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.2275,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2200,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.2326,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8845,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1214,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4865,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7513,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7652,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6543,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.8382,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.2200,,1,,ByLayer,ByLayer,,
